sample_name	fastq_R1	fastq_R2	amplicon_fa	experiment	deaminase
deaminase1	example_files/deaminase1_S1_R1_001.fastq.gz	example_files/deaminase1_S1_R2_001.fastq.gz	example_files/opJS45.amplicon.fa	deaminase_test	TRUE
deaminase2	example_files/deaminase2_S2_R1_001.fastq.gz	example_files/deaminase2_S2_R2_001.fastq.gz	example_files/opJS45.amplicon.fa	deaminase_test	TRUE
